# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000a000   ---        --------
               6   N   0000a000   0000e101   0000a004   x10_a0     00000000
               7   N   0000a004   00004e01   0000a006   ---        --------
               8   N   0000a006   ffff7297   0000a008   x28_t3     00000000
               9   N   0000a008   8b828293   0000a00c   x05_t0     00001008
              10   N   0000a00c   30529073   0000a010   x05_t0     000008c0
              11   N   0000a010   00004505   0000a014   ---        --------
              12   N   0000a014   0000057e   0000a016   x10_a0     00000001
              13   N   0000a016   00054863   0000a018   x10_a0     80000000
              14   N   0000a018   0ff0000f   0000a028   ---        --------
              17   N   0000a028   00028f63   0000a02c   x05_t0     00000000
              18   N   0000a02c   10529073   0000a04a   ---        --------
              22   N   0000a04a   00006509   0000a04e   ---        --------
              23   N   0000a04e   00006509   0000a04e   ---        --------
              24   N   0000a04e   80050513   0000a050   x10_a0     00002000
              25   N   0000a050   30052073   0000a054   x10_a0     00001800
              26   N   0000a054   00000297   0000a058   ---        --------
              27   N   0000a058   00000297   0000a058   ---        --------
              28   N   0000a058   63228293   0000a05c   x05_t0     0000a058
              29   N   0000a05c   34129073   0000a060   x05_t0     0000a68a
              30   N   0000a060   f1402573   0000a064   ---        --------
              31   N   0000a064   30200073   0000a068   x10_a0     00000000
              33   N   0000a068   00000000   0000a68a   ---        --------
              36   N   0000a68a   00200e13   0000a68c   ---        --------
              37   N   0000a68c   00000313   0000a690   x28_t3     00000002
              38   N   0000a690   00000297   0000a694   x06_t1     00000000
              39   N   0000a694   00c28293   0000a698   x05_t0     0000a694
              40   N   0000a698   00228367   0000a69c   x05_t0     0000a6a0
              41   N   0000a69c   0000a011   0000a6a2   x06_t1     0000a6a0
              44   N   0000a6a2   0e80006f   0000a6a8   ---        --------
              47   N   0000a6a8   00000297   0000a6ac   x28_t3     00000003
              48   N   0000a6ac   00c28293   0000a6b0   x05_t0     0000a6ac
              49   N   0000a6b0   00128367   0000a6b4   x05_t0     0000a6b8
              50   N   0000a6b4   0080006f   0000a6b8   x06_t1     0000a6b8
              53   N   0000a6b8   0d00006f   0000a6c0   ---        --------
              56   N   0000a6c0   00000313   0000a6c4   x28_t3     00000004
              57   N   0000a6c4   00000297   0000a6c8   x06_t1     00000000
              58   N   0000a6c8   00c28293   0000a6cc   x05_t0     0000a6c8
              59   N   0000a6cc   00328367   0000a6d0   x05_t0     0000a6d4
              60   N   0000a6d0   0000a011   0000a6d6   x06_t1     0000a6d4
              63   N   0000a6d6   0b40006f   0000a6dc   ---        --------
              66   N   0000a6dc   00000313   0000a6e0   x28_t3     00000005
              67   N   0000a6e0   00000297   0000a6e4   x06_t1     00000000
              68   N   0000a6e4   00c28293   0000a6e8   x05_t0     0000a6e4
              69   N   0000a6e8   0060036f   0000a6ec   x05_t0     0000a6f0
              70   N   0000a6ec   0000a011   0000a6f2   x06_t1     0000a6f0
              73   N   0000a6f2   0980006f   0000a6f8   ---        --------
